Problem,Agent's Answer,Correct?,Correct Answer
Basic Problem B-01,2,Correct,2
Basic Problem B-02,5,Correct,5
Basic Problem B-03,1,Correct,1
Basic Problem B-04,2,Incorrect,3
Basic Problem B-05,2,Incorrect,4
Basic Problem B-06,1,Incorrect,5
Basic Problem B-07,3,Incorrect,6
Basic Problem B-08,6,Correct,6
Basic Problem B-09,1,Incorrect,5
Basic Problem B-10,3,Correct,3
Basic Problem B-11,1,Correct,1
Basic Problem B-12,1,Correct,1
Basic Problem C-01,3,Correct,3
Basic Problem C-02,3,Incorrect,4
Basic Problem C-03,1,Incorrect,4
Basic Problem C-04,8,Correct,8
Basic Problem C-05,5,Incorrect,3
Basic Problem C-06,8,Incorrect,7
Basic Problem C-07,4,Incorrect,2
Basic Problem C-08,8,Incorrect,5
Basic Problem C-09,6,Incorrect,2
Basic Problem C-10,1,Incorrect,7
Basic Problem C-11,8,Incorrect,4
Basic Problem C-12,8,Correct,8
Basic Problem D-01,3,Correct,3
Basic Problem D-02,3,Incorrect,1
Basic Problem D-03,5,Incorrect,3
Basic Problem D-04,3,Incorrect,1
Basic Problem D-05,8,Incorrect,7
Basic Problem D-06,6,Incorrect,1
Basic Problem D-07,8,Incorrect,1
Basic Problem D-08,5,Incorrect,4
Basic Problem D-09,5,Incorrect,3
Basic Problem D-10,8,Incorrect,1
Basic Problem D-11,2,Incorrect,3
Basic Problem D-12,1,Incorrect,3
Basic Problem E-01,5,Incorrect,1
Basic Problem E-02,3,Incorrect,7
Basic Problem E-03,3,Incorrect,2
Basic Problem E-04,2,Incorrect,8
Basic Problem E-05,1,Incorrect,5
Basic Problem E-06,7,Incorrect,8
Basic Problem E-07,3,Correct,3
Basic Problem E-08,5,Incorrect,1
Basic Problem E-09,8,Incorrect,7
Basic Problem E-10,5,Incorrect,8
Basic Problem E-11,5,Correct,5
Basic Problem E-12,7,Incorrect,6
Challenge Problem B-01,1,Incorrect,6
Challenge Problem B-02,3,Incorrect,1
Challenge Problem B-03,2,Incorrect,3
Challenge Problem B-04,2,Incorrect,4
Challenge Problem B-05,6,Correct,6
Challenge Problem B-06,3,Correct,3
Challenge Problem B-07,1,Incorrect,6
Challenge Problem B-08,2,Incorrect,4
Challenge Problem B-09,4,Correct,4
Challenge Problem B-10,1,Incorrect,4
Challenge Problem B-11,2,Incorrect,5
Challenge Problem B-12,6,Incorrect,1
Challenge Problem C-01,2,Incorrect,7
Challenge Problem C-02,3,Incorrect,7
Challenge Problem C-03,7,Incorrect,3
Challenge Problem C-04,4,Incorrect,8
Challenge Problem C-05,2,Incorrect,4
Challenge Problem C-06,2,Incorrect,7
Challenge Problem C-07,2,Incorrect,3
Challenge Problem C-08,4,Incorrect,1
Challenge Problem C-09,7,Correct,7
Challenge Problem C-10,6,Incorrect,3
Challenge Problem C-11,8,Incorrect,4
Challenge Problem C-12,4,Incorrect,2
Challenge Problem D-01,8,Incorrect,2
Challenge Problem D-02,6,Incorrect,1
Challenge Problem D-03,1,Correct,1
Challenge Problem D-04,5,Incorrect,6
Challenge Problem D-05,5,Incorrect,2
Challenge Problem D-06,2,Incorrect,6
Challenge Problem D-07,6,Incorrect,4
Challenge Problem D-08,8,Incorrect,1
Challenge Problem D-09,4,Incorrect,7
Challenge Problem D-10,1,Incorrect,5
Challenge Problem D-11,4,Incorrect,5
Challenge Problem D-12,2,Incorrect,6
Challenge Problem E-01,2,Incorrect,6
Challenge Problem E-02,7,Correct,7
Challenge Problem E-03,3,Incorrect,5
Challenge Problem E-04,2,Incorrect,5
Challenge Problem E-05,7,Incorrect,6
Challenge Problem E-06,1,Incorrect,7
Challenge Problem E-07,4,Incorrect,5
Challenge Problem E-08,5,Incorrect,7
Challenge Problem E-09,5,Incorrect,1
Challenge Problem E-10,1,Correct,1
Challenge Problem E-11,1,Incorrect,3
Challenge Problem E-12,4,Incorrect,5
